word,count,rank
George,5,1287
jeep,5,1288
snail,5,1289
plastic,5,1290
begins,5,1291
tigers,5,1292
stretching,5,1293
anyone,5,1294
blood,5,1295
North_Carolina,5,1296
exactly,5,1297
winner,5,1298
cents,5,1299
spray,5,1300
stem,5,1301
idea,4,1302
comb,4,1303
goat,4,1304
John,4,1305
locomotive,4,1306
tools,4,1307
squashed,4,1308
Joshua's,4,1309
man's,4,1310
pal,4,1311
smell,4,1312
Walter,4,1313
piano,4,1314
thread,4,1315
wet,4,1316
radio,4,1317
crawling,4,1318
power,4,1319
warm,4,1320
buttons,4,1321
nails,4,1322
papers,4,1323
yep,4,1324
brushing,4,1325
safety,4,1326
matches,4,1327
chewy,4,1328
cap,4,1329
potato,4,1330
nine,4,1331
disk,4,1332
hydrant,4,1333
tracks,4,1334
everybody,4,1335
scratched,4,1336
touching,4,1337
dripping,4,1338
mixer,4,1339
calls,4,1340
Popeye,4,1341
seat,4,1342
Twinkles,4,1343
Church,4,1344
York,4,1345
ribbon,4,1346
lap,4,1347
sidewalk,4,1348
plugged,4,1349
asking,4,1350
vitamins,4,1351
vitamin,4,1352
particular,4,1353
sea,4,1354
Pinocchio,4,1355
rooster,4,1356
eagle,4,1357
changed,4,1358
Rusty's,4,1359
spanking,4,1360
mind,4,1361
changing,4,1362
tires,4,1363
meant,4,1364
able,4,1365
quiet,4,1366
Claus,4,1367
horse's,4,1368
send,4,1369
meadow,4,1370
Joshua,4,1371
drinks,4,1372
Thursday,4,1373
measles,4,1374
cart,4,1375
violin,4,1376
chickens,4,1377
itself,4,1378
faces,4,1379
Cambridge,4,1380
job,4,1381
mud,4,1382
eleven,4,1383
spit,4,1384
balls,4,1385
figure,4,1386
simply,4,1387
fellow,4,1388
knows,4,1389
stepped,4,1390
Captain_Kangaroo,4,1391
chalk,4,1392
carriage,4,1393
swallow,4,1394
cool,4,1395
what'd,4,1396
ways,4,1397
hospital,4,1398
dream,4,1399
leaf,4,1400
cannot,4,1401
tried,4,1402
mailbox,4,1403
spells,4,1404
wedding,4,1405
copilot,4,1406
tower,4,1407
spread,4,1408
directions,4,1409
dressed,4,1410
swan,4,1411
rifle,4,1412
glass,4,1413
treasure,4,1414
roll,4,1415
nest,4,1416
crown,4,1417
v,4,1418
chew,4,1419
serve,4,1420
um,4,1421
hamburger,4,1422
carrying,4,1423
rod,4,1424
moves,4,1425
opening,4,1426
s,4,1427
peach,4,1428
nickel,4,1429
wolf,4,1430
class,4,1431
n,4,1432
t,4,1433
wish,4,1434
ocean,4,1435
washed,4,1436
Africa,4,1437
awoh,4,1438
l,4,1439
beds,4,1440
cakes,4,1441
whatever,4,1442
lumber,4,1443
prepared,4,1444
starts,4,1445
examine,4,1446
patient,4,1447
particularly,4,1448
shapes,4,1449
wide,4,1450
log,4,1451
sailboat,4,1452
pounds,4,1453
sticking,4,1454
hits,4,1455
dragon,4,1456
wind,4,1457
channel,4,1458
k,4,1459
peeking,4,1460
across,4,1461
flies,4,1462
cackle,4,1463
stone,4,1464
slides,4,1465
certainly,4,1466
cluck,4,1467
losing,4,1468
worm,4,1469
pair,4,1470
dotted,4,1471
brace,4,1472
windshield,4,1473
Bobby,4,1474
marvelous,4,1475
target,4,1476
checkers,3,1477
tank,3,1478
brief,3,1479
grader,3,1480
beside,3,1481
Buzzhart,3,1482
sock,3,1483
gum,3,1484
shake,3,1485
Donald,3,1486
Duck,3,1487
u,3,1488
bicycle,3,1489
drives,3,1490
met,3,1491
bye,3,1492
Pepper,3,1493
hasn't,3,1494
daddy,3,1495
Green_jeans,3,1496
stars,3,1497
Chatter,3,1498
desk,3,1499
Ricky's,3,1500
using,3,1501
writes,3,1502
though,3,1503
usually,3,1504
eraser,3,1505
